loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_util,is_default,fico_score,dti_score,revol_score,grade_score,delinq_score,total_score,risk_tier
10000.0, 36 months,7.91,312.95,A,A5,2 years,RENT,40100.0,Not Verified,Fully Paid,credit_card,OH,10.81,0.0,680.0,684.0,4.0,0.0,45.0,0,3,2,2,1,1,9,Medium Risk
16000.0, 60 months,13.44,367.67,C,C3,1 year,RENT,42000.0,Not Verified,Charged Off,credit_card,MA,9.6,0.0,670.0,674.0,29.0,0.0,44.8,1,3,1,2,3,1,10,Medium Risk
21875.0, 36 months,11.99,726.46,C,C1,< 1 year,RENT,47590.0,Source Verified,Fully Paid,credit_card,FL,17.76,0.0,700.0,704.0,9.0,0.0,57.1,0,2,2,3,3,1,11,Medium Risk
14025.0, 60 months,18.49,359.9,D,D5,10+ years,MORTGAGE,39000.0,Verified,Fully Paid,debt_consolidation,WI,18.0,0.0,675.0,679.0,12.0,0.0,74.9,0,3,2,3,4,1,13,High Risk
35000.0, 60 months,12.88,794.21,C,C2,7 years,MORTGAGE,106000.0,Source Verified,Charged Off,debt_consolidation,AL,17.36,0.0,730.0,734.0,8.0,0.0,72.1,1,2,2,3,3,1,11,Medium Risk
20000.0, 36 months,12.88,672.73,C,C2,10+ years,MORTGAGE,145000.0,Not Verified,Fully Paid,debt_consolidation,RI,12.28,0.0,695.0,699.0,12.0,0.0,80.2,0,3,2,4,3,1,13,High Risk
14000.0, 60 months,14.85,331.96,C,C5,2 years,MORTGAGE,60000.0,Not Verified,Charged Off,debt_consolidation,AZ,24.29,0.0,690.0,694.0,11.0,0.0,73.9,1,3,3,3,3,1,13,High Risk
16000.0, 60 months,8.49,328.19,B,B1,5 years,MORTGAGE,62000.0,Source Verified,In Grace Period,credit_card,CA,28.92,0.0,720.0,724.0,10.0,0.0,51.2,1,2,3,3,2,1,11,Medium Risk
20000.0, 60 months,13.99,465.27,C,C4,10+ years,OWN,70000.0,Source Verified,Charged Off,debt_consolidation,MD,16.9,0.0,680.0,684.0,20.0,0.0,42.0,1,3,2,2,3,1,11,Medium Risk
4200.0, 36 months,13.44,142.41,C,C3,10+ years,MORTGAGE,102500.0,Not Verified,Fully Paid,debt_consolidation,NY,26.21,0.0,700.0,704.0,14.0,0.0,88.5,0,2,3,4,3,1,13,High Risk
19000.0, 60 months,14.85,450.52,C,C5,9 years,OWN,75000.0,Not Verified,Fully Paid,credit_card,NY,13.09,0.0,665.0,669.0,15.0,0.0,63.7,0,3,2,3,3,1,12,Medium Risk
15850.0, 60 months,23.13,448.01,F,F2,10+ years,OWN,45000.0,Not Verified,Fully Paid,debt_consolidation,OH,34.85,0.0,755.0,759.0,18.0,0.0,21.3,0,1,4,1,4,1,11,Medium Risk
30000.0, 36 months,15.77,1051.31,D,D1,2 years,MORTGAGE,175000.0,Not Verified,Fully Paid,home_improvement,OH,18.5,0.0,725.0,729.0,9.0,0.0,50.3,0,2,2,3,4,1,12,Medium Risk
1500.0, 36 months,6.49,45.97,A,A2,Unknown,MORTGAGE,45000.0,Not Verified,Fully Paid,vacation,HI,16.11,0.0,745.0,749.0,12.0,0.0,21.2,0,2,2,1,1,1,7,Low Risk
25000.0, 36 months,5.32,752.87,A,A1,1 year,MORTGAGE,150000.0,Not Verified,Fully Paid,credit_card,VT,9.54,0.0,795.0,799.0,7.0,0.0,42.5,0,1,1,2,1,1,6,Low Risk
20200.0, 60 months,18.49,518.35,D,D5,4 years,RENT,60000.0,Source Verified,Charged Off,debt_consolidation,CA,34.84,0.0,720.0,724.0,10.0,1.0,40.6,1,2,4,2,4,1,13,High Risk
23975.0, 60 months,19.89,633.73,E,E3,10+ years,RENT,70000.0,Not Verified,Charged Off,credit_card,VA,33.2,0.0,685.0,689.0,10.0,0.0,94.9,1,3,4,4,4,1,16,High Risk
15000.0, 60 months,10.78,324.5,B,B4,10+ years,MORTGAGE,65000.0,Not Verified,Fully Paid,debt_consolidation,AL,29.28,0.0,720.0,724.0,18.0,0.0,69.8,0,2,3,3,2,1,11,Medium Risk
10000.0, 36 months,10.78,326.35,B,B4,3 years,MORTGAGE,41600.0,Not Verified,Fully Paid,debt_consolidation,IN,15.78,0.0,695.0,699.0,18.0,0.0,52.5,0,3,2,3,2,1,11,Medium Risk
15000.0, 36 months,8.49,473.45,B,B1,6 years,MORTGAGE,110000.0,Not Verified,Fully Paid,credit_card,NJ,13.24,0.0,670.0,674.0,16.0,1.0,41.4,0,3,2,2,2,1,10,Medium Risk
23100.0, 60 months,20.5,618.46,E,E4,2 years,OWN,110000.0,Not Verified,Charged Off,car,DE,20.43,0.0,660.0,664.0,11.0,0.0,94.9,1,3,3,4,4,1,15,High Risk
27300.0, 36 months,17.27,977.0,D,D3,10+ years,MORTGAGE,65000.0,Not Verified,Charged Off,home_improvement,NY,25.63,0.0,660.0,664.0,14.0,0.0,83.0,1,3,3,4,4,1,15,High Risk
25000.0, 60 months,11.48,549.57,B,B5,10+ years,MORTGAGE,135000.0,Not Verified,Fully Paid,credit_card,TX,4.65,0.0,705.0,709.0,16.0,0.0,13.5,0,2,1,1,2,1,7,Low Risk
15000.0, 36 months,10.78,489.52,B,B4,1 year,RENT,40000.0,Verified,Fully Paid,credit_card,TX,10.17,0.0,670.0,674.0,7.0,0.0,75.3,0,3,2,4,2,1,12,Medium Risk
10000.0, 60 months,16.59,246.33,D,D2,< 1 year,RENT,30000.0,Source Verified,Fully Paid,debt_consolidation,OH,30.84,0.0,715.0,719.0,19.0,1.0,26.6,0,2,4,2,4,1,13,High Risk
18500.0, 60 months,12.88,419.8,C,C2,10+ years,MORTGAGE,70000.0,Source Verified,Fully Paid,debt_consolidation,TX,13.2,0.0,675.0,679.0,9.0,0.0,57.8,0,3,2,3,3,1,12,Medium Risk
5000.0, 36 months,7.91,156.48,A,A5,6 years,RENT,32000.0,Source Verified,Fully Paid,credit_card,OH,13.73,0.0,685.0,689.0,7.0,1.0,41.1,0,3,2,2,1,1,9,Medium Risk
9000.0, 36 months,9.17,286.92,B,B2,1 year,OWN,50000.0,Not Verified,Fully Paid,debt_consolidation,KS,11.98,0.0,800.0,804.0,5.0,0.0,48.5,0,1,2,2,2,1,8,Low Risk
3000.0, 36 months,17.27,107.37,D,D3,10+ years,RENT,40800.0,Verified,Charged Off,other,MD,28.53,0.0,660.0,664.0,7.0,1.0,74.8,1,3,3,3,4,1,14,High Risk
11000.0, 36 months,6.49,337.09,A,A2,10+ years,MORTGAGE,85000.0,Not Verified,Fully Paid,credit_card,MA,15.0,0.0,755.0,759.0,12.0,0.0,20.1,0,1,2,1,1,1,6,Low Risk
20000.0, 36 months,6.49,612.89,A,A2,6 years,MORTGAGE,55000.0,Not Verified,Fully Paid,debt_consolidation,TN,29.15,0.0,750.0,754.0,9.0,0.0,23.8,0,1,3,1,1,1,7,Low Risk
15000.0, 36 months,5.32,451.73,A,A1,Unknown,RENT,80000.0,Not Verified,Fully Paid,debt_consolidation,VA,20.18,0.0,775.0,779.0,30.0,0.0,21.4,0,1,3,1,1,1,7,Low Risk
12000.0, 36 months,5.32,361.38,A,A1,4 years,MORTGAGE,53750.0,Source Verified,Fully Paid,debt_consolidation,AZ,15.3,1.0,700.0,704.0,8.0,0.0,17.2,0,2,2,1,1,2,8,Low Risk
8000.0, 36 months,10.78,261.08,B,B4,< 1 year,MORTGAGE,45000.0,Not Verified,Fully Paid,debt_consolidation,MI,21.23,0.0,670.0,674.0,28.0,0.0,35.5,0,3,3,2,2,1,11,Medium Risk
12000.0, 36 months,10.78,391.62,B,B4,3 years,RENT,40000.0,Not Verified,Fully Paid,credit_card,NJ,31.95,3.0,665.0,669.0,16.0,0.0,41.4,0,3,4,2,2,4,15,High Risk
18000.0, 36 months,7.49,559.83,A,A4,5 years,MORTGAGE,75000.0,Not Verified,Fully Paid,debt_consolidation,NH,25.65,0.0,715.0,719.0,12.0,0.0,33.2,0,2,3,2,1,1,9,Medium Risk
3600.0, 36 months,11.48,118.68,B,B5,< 1 year,MORTGAGE,85000.0,Source Verified,Fully Paid,debt_consolidation,VA,17.44,0.0,675.0,679.0,12.0,1.0,28.7,0,3,2,2,2,1,10,Medium Risk
7200.0, 36 months,17.27,257.67,D,D3,9 years,OWN,20000.0,Verified,Charged Off,debt_consolidation,MA,13.21,1.0,705.0,709.0,8.0,0.0,32.6,1,2,2,2,4,2,12,Medium Risk
15000.0, 60 months,13.44,344.69,C,C3,4 years,RENT,77213.0,Source Verified,Fully Paid,credit_card,FL,18.17,0.0,670.0,674.0,17.0,1.0,25.8,0,3,2,2,3,1,11,Medium Risk
5000.0, 36 months,9.8,160.87,B,B3,6 years,OWN,72000.0,Not Verified,Fully Paid,other,NC,6.52,0.0,710.0,714.0,11.0,1.0,56.3,0,2,1,3,2,1,9,Medium Risk
11550.0, 60 months,16.59,284.51,D,D2,5 years,RENT,38000.0,Not Verified,Charged Off,credit_card,OH,21.07,0.0,700.0,704.0,9.0,0.0,39.7,1,2,3,2,4,1,12,Medium Risk
33600.0, 36 months,10.78,1096.53,B,B4,8 years,RENT,104000.0,Source Verified,Fully Paid,debt_consolidation,OH,14.01,0.0,690.0,694.0,14.0,0.0,51.8,0,3,2,3,2,1,11,Medium Risk
17475.0, 36 months,13.99,597.17,C,C4,2 years,RENT,39750.0,Not Verified,Charged Off,debt_consolidation,IL,23.58,0.0,695.0,699.0,7.0,0.0,52.3,1,3,3,3,3,1,13,High Risk
9000.0, 36 months,8.49,284.07,B,B1,8 years,MORTGAGE,47000.0,Not Verified,Fully Paid,debt_consolidation,FL,8.43,0.0,675.0,679.0,12.0,0.0,26.7,0,3,1,2,2,1,9,Medium Risk
12000.0, 60 months,9.8,253.79,B,B3,10+ years,MORTGAGE,65000.0,Not Verified,Fully Paid,debt_consolidation,KS,23.84,0.0,785.0,789.0,18.0,0.0,13.4,0,1,3,1,2,1,8,Low Risk
4000.0, 36 months,9.17,127.52,B,B2,2 years,RENT,44500.0,Verified,Fully Paid,debt_consolidation,NE,15.83,0.0,670.0,674.0,4.0,1.0,4.2,0,3,2,1,2,1,9,Medium Risk
10500.0, 36 months,15.77,367.96,D,D1,3 years,RENT,70100.0,Source Verified,Fully Paid,credit_card,KS,8.51,0.0,660.0,664.0,5.0,0.0,77.4,0,3,1,4,4,1,13,High Risk
14000.0, 36 months,9.8,450.43,B,B3,4 years,MORTGAGE,100000.0,Not Verified,Fully Paid,medical,OH,15.97,0.0,685.0,689.0,7.0,0.0,36.1,0,3,2,2,2,1,10,Medium Risk
6000.0, 36 months,7.91,187.77,A,A5,10+ years,MORTGAGE,105000.0,Not Verified,Fully Paid,car,OH,14.45,0.0,685.0,689.0,9.0,3.0,65.3,0,3,2,3,1,1,10,Medium Risk
15000.0, 36 months,9.8,482.61,B,B3,3 years,MORTGAGE,92000.0,Not Verified,Fully Paid,debt_consolidation,OR,13.89,0.0,680.0,684.0,7.0,2.0,35.2,0,3,2,2,2,1,10,Medium Risk
12000.0, 36 months,9.17,382.55,B,B2,4 years,MORTGAGE,39400.0,Not Verified,Fully Paid,debt_consolidation,CA,26.32,0.0,705.0,709.0,18.0,0.0,34.6,0,2,3,2,2,1,10,Medium Risk
10000.0, 36 months,11.48,329.67,B,B5,2 years,RENT,33000.0,Not Verified,Fully Paid,debt_consolidation,IN,21.75,0.0,710.0,714.0,12.0,1.0,35.6,0,2,3,2,2,1,10,Medium Risk
4200.0, 36 months,13.99,143.53,C,C4,2 years,RENT,32000.0,Source Verified,Fully Paid,other,TN,31.02,0.0,705.0,709.0,10.0,0.0,11.7,0,2,4,1,3,1,11,Medium Risk
35000.0, 60 months,20.5,937.06,E,E4,8 years,MORTGAGE,120000.0,Source Verified,Fully Paid,debt_consolidation,GA,35.69,1.0,700.0,704.0,25.0,0.0,32.2,0,2,4,2,4,2,14,High Risk
5475.0, 36 months,18.99,200.67,E,E1,10+ years,MORTGAGE,108000.0,Verified,Charged Off,debt_consolidation,FL,33.47,4.0,670.0,674.0,11.0,0.0,41.0,1,3,4,2,4,4,17,Critical Risk
6000.0, 36 months,13.44,203.44,C,C3,3 years,OWN,38700.0,Source Verified,Fully Paid,debt_consolidation,NC,23.26,0.0,690.0,694.0,4.0,0.0,19.2,0,3,3,1,3,1,11,Medium Risk
24000.0, 36 months,9.17,765.1,B,B2,10+ years,MORTGAGE,75000.0,Source Verified,Fully Paid,debt_consolidation,RI,10.11,0.0,660.0,664.0,14.0,1.0,39.5,0,3,2,2,2,1,10,Medium Risk
10000.0, 36 months,12.88,336.37,C,C2,< 1 year,RENT,60000.0,Verified,Fully Paid,debt_consolidation,WA,3.3,0.0,715.0,719.0,5.0,0.0,64.1,0,2,1,3,3,1,10,Medium Risk
6900.0, 36 months,19.89,256.05,E,E3,10+ years,RENT,80000.0,Source Verified,Fully Paid,debt_consolidation,NY,9.57,0.0,665.0,669.0,10.0,0.0,35.9,0,3,1,2,4,1,11,Medium Risk
15975.0, 36 months,16.59,566.3,D,D2,4 years,MORTGAGE,58800.0,Not Verified,Fully Paid,debt_consolidation,CA,20.45,0.0,665.0,669.0,11.0,0.0,71.8,0,3,3,3,4,1,14,High Risk
21600.0, 36 months,13.44,732.38,C,C3,9 years,MORTGAGE,54000.0,Verified,Fully Paid,debt_consolidation,WI,17.64,0.0,690.0,694.0,9.0,0.0,60.8,0,3,2,3,3,1,12,Medium Risk
14400.0, 60 months,19.48,377.36,E,E2,3 years,RENT,73320.0,Source Verified,Charged Off,debt_consolidation,NY,17.02,0.0,660.0,664.0,9.0,0.0,96.8,1,3,2,4,4,1,14,High Risk
8000.0, 36 months,13.99,273.39,C,C4,< 1 year,RENT,42000.0,Not Verified,Fully Paid,other,OR,23.26,0.0,705.0,709.0,8.0,0.0,40.5,0,2,3,2,3,1,11,Medium Risk
7000.0, 36 months,13.99,239.21,C,C4,2 years,RENT,83000.0,Source Verified,Fully Paid,debt_consolidation,DE,21.96,0.0,680.0,684.0,11.0,0.0,83.1,0,3,3,4,3,1,14,High Risk
20000.0, 36 months,10.78,652.7,B,B4,< 1 year,OWN,55000.0,Not Verified,Fully Paid,debt_consolidation,AL,36.94,0.0,740.0,744.0,18.0,1.0,43.0,0,2,4,2,2,1,11,Medium Risk
25825.0, 60 months,26.06,774.14,F,F5,6 years,RENT,68000.0,Verified,Charged Off,debt_consolidation,MD,31.68,0.0,675.0,679.0,18.0,0.0,69.7,1,3,4,3,4,1,15,High Risk
24575.0, 60 months,22.45,685.04,F,F1,10+ years,MORTGAGE,92000.0,Verified,Fully Paid,debt_consolidation,OH,24.16,0.0,725.0,729.0,8.0,0.0,79.3,0,2,3,4,4,1,14,High Risk
3200.0, 36 months,8.49,101.01,B,B1,10+ years,RENT,30407.0,Not Verified,Fully Paid,medical,MN,20.61,0.0,710.0,714.0,5.0,0.0,30.3,0,2,3,2,2,1,10,Medium Risk
22875.0, 60 months,15.77,553.49,D,D1,10+ years,MORTGAGE,137000.0,Not Verified,Fully Paid,debt_consolidation,CA,32.3,0.0,700.0,704.0,22.0,0.0,45.8,0,2,4,2,4,1,13,High Risk
35000.0, 36 months,13.44,1186.72,C,C3,< 1 year,MORTGAGE,125000.0,Source Verified,Fully Paid,debt_consolidation,MN,24.19,0.0,710.0,714.0,15.0,0.0,51.9,0,2,3,3,3,1,12,Medium Risk
2400.0, 36 months,17.27,85.89,D,D3,2 years,MORTGAGE,52000.0,Verified,Fully Paid,home_improvement,IN,28.38,1.0,670.0,674.0,16.0,1.0,41.5,0,3,3,2,4,2,14,High Risk
25000.0, 36 months,7.49,777.55,A,A4,Unknown,MORTGAGE,132000.0,Not Verified,Fully Paid,debt_consolidation,MI,13.83,0.0,745.0,749.0,14.0,0.0,48.0,0,2,2,2,1,1,8,Low Risk
8800.0, 36 months,12.88,296.0,C,C2,2 years,RENT,55000.0,Not Verified,Fully Paid,credit_card,MA,35.52,0.0,715.0,719.0,20.0,0.0,37.5,0,2,4,2,3,1,12,Medium Risk
2500.0, 36 months,11.48,82.42,B,B5,Unknown,RENT,16488.0,Not Verified,Fully Paid,debt_consolidation,CT,38.06,0.0,770.0,774.0,12.0,0.0,8.2,0,1,4,1,2,1,9,Medium Risk
8000.0, 36 months,5.32,240.92,A,A1,1 year,RENT,50000.0,Not Verified,Fully Paid,credit_card,MI,14.86,1.0,715.0,719.0,21.0,0.0,35.1,0,2,2,2,1,2,9,Medium Risk
20000.0, 36 months,11.99,664.2,C,C1,10+ years,MORTGAGE,78000.0,Not Verified,Charged Off,debt_consolidation,AL,27.1,0.0,705.0,709.0,15.0,0.0,48.2,1,2,3,2,3,1,11,Medium Risk
35000.0, 60 months,12.88,794.21,C,C2,10+ years,MORTGAGE,110000.0,Source Verified,Charged Off,major_purchase,MD,13.39,0.0,695.0,699.0,19.0,0.0,47.2,1,3,2,2,3,1,11,Medium Risk
